can_smiles,bde_gnn,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,RingCount,NumRotatableBonds,fr_aryl_methyl,fr_NH1,fr_NH2,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,MaxPartialCharge,MinPartialCharge,MinEStateIndex,TPSA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,NPR1,NPR2,PMI3,PBF,Nper,OB,C,H,O,N,N_NO2,O_NO2,c_3NO2,c_2NO2,NO2_content,benzene,ring_content,Td
[N-]=[N+]=C1C(n2nc([N+](=O)[O-])c(N)c2[N+](=O)[O-])=NN=C1n1nc([N+](=O)[O-])c(N)c1[N+](=O)[O-],273.44293,4,22,0,1,1,0,2,16,2,22,3,4,0,0,2,4,0,0,0.4587038680253381,-0.38460838,-1.16341716,321.36,0,0,0,0,0,0,0,0,0,3,6,0,0,0,2,0,0,0,0,0,0,2,2,0,4,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.563851096,-6.579642464,0,0,0,10.733615128124509,0,0,0,0,0,0,6.789346182917612,6.611474237843286,0,-4.614465918,0.3732602670697904,0,0,44.58930731592709,0,0,0,0,0,0,0.2064377836654041,0.8701653317754559,8163.597342748461,0.5727693595796438,0.4493135360287559,-0.440143872,9,4,8,14,0,0,0,0,0.5161290322580645,0,0.4838709677419355,278
[N-]=[N+]=NC(=O)C(=O)N=[N+]=[N-],145.1848,0,8,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0.2909848477365133,-0.283432302,-1.416388889,131.66000000000005,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.832777778,0,0,0,0,0,0,0,0,0,0,0,4.7407407407407405,0,0,0,0,0,0,20.196296296296296,0,0,0,0,0,0,0.2370476328523502,0.7629523671476958,788.6520538580223,2.787410828181125e-07,0.5997344033356657,-0.228470249,2,0,2,6,0,0,0,0,0,0,0,46
[N-]=[N+]=NC(=O)C(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],137.4246,0,15,0,0,0,0,0,9,0,15,0,5,0,0,0,3,0,0,0.7336469284690686,-0.434763389,-4.049308036,221.55,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,5,1,0,0,0,0,0,0,0,-1.952855253,0,0,0,0,0,0,-3.875769558,0,0,-4.049308036,0,0,0,0,0,0,0,0,2.217289304610733,0,0,-5.713342309,0,0,0,52.4375141723356,3.727453703703704,0,0,0,0,0,0.2133181253814309,0.9753263318211598,2885.9867566361945,0.6165151776790558,0.3020572254605474,0,4,2,9,6,0,0,1,0,0.5263157894736842,0,0,50
[N-]=[N+]=NC(=O)CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],137.9376,0,13,0,0,0,0,0,7,0,13,0,6,0,0,0,3,0,0,0.699734451122082,-0.292600066,-3.707702664,195.25000000000003,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,-2.286851852,0,0,0,0,0,0,-1.261643519,0,0,-3.707702664,0,0,0,0,0,0,0,0,2.4795096371882086,0,0,-5.135807823,0,0,0,41.81610166288738,0,0,0,0,0,0,0.3673599727773725,0.9527429730400024,1617.8948762058285,0.8935800533143247,0.3385581453462361,-0.193461797,4,4,7,6,0,0,1,0,0.5882352941176471,0,0,85
[N-]=[N+]=NC(=O)CCN(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],145.62772,0,17,0,0,0,0,0,9,0,17,0,9,0,0,0,4,0,0,0.7228472244559235,-0.29253791,-4.074787691,241.63,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0,5,0,0,0,0,0,0,0,0,-3.632009873,0,0,0,0,0,0,-1.191426682,0,0,-4.074787691,0,0,0,0,0,0,0,0,2.548444349962207,0,-0.25079932,-7.050717593,0,0,0,53.45796909389712,0,0,0,0,0,0,0.390570295684026,0.807877214266386,3095.061828636589,0.8370305937946965,0.347664131615707,-0.198665218,5,6,9,8,1,0,1,0,0.6363636363636364,0,0,65
[N-]=[N+]=NC(=O)CN(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],145.62772,0,17,0,0,0,0,0,9,0,17,0,8,0,0,0,4,0,0,0.7228660395066362,-0.290315679,-4.149099702,241.63,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0,5,0,0,0,0,0,0,0,0,-3.380933957,0,0,0,0,0,0,-1.515607521,0,0,-4.149099702,0,0,0,0,0,0,0,0,2.397335600907029,0,-0.466851852,-7.332683296,0,0,0,53.17875330687831,0,0,0,0,0,0,0.2934647318308162,0.9245455112685848,2916.7410449134204,0.8461756481488208,0.3634912031883372,-0.051927315,4,4,9,8,1,0,1,0,0.6666666666666666,0,0,89
[N-]=[N+]=NC(=O)NC(=O)Nn1ncnn1,147.6952,2,11,0,0,0,0,1,6,2,11,1,1,0,2,0,0,0,0,0.3428564009196071,-0.270976743,-1.134152494,150.56,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,1,3,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1.0789014865205342,0,0,0,-2.078226568,0,0,0,0,0,0,0,3.670099206349206,0,0,0,2.597847222222222,9.978806689342404,0,0,0.7209344293272864,0,0,21.36457624716553,0,0,0,0,0,0,0.1184132180363046,0.9218024867477432,1880.890800594399,0.3652352773491745,0.639211030956077,-0.446433101,3,3,2,9,0,0,0,0,0,0,0.3571428571428571,145
[N-]=[N+]=NC(=O)NC(=O)OC1COC1,152.716,1,8,0,1,1,0,0,4,1,8,1,1,0,1,0,0,0,0,0.4139351718608738,-0.441004133,-1.090053855,113.39,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0.6450958994708995,0,0,0,-0.320495087,0,0,-2.029220522,0,0,0,0,0,0,0,1.7038888888888888,0,0,0,2.614152730536659,0,0,0,0,0,0,21.216159533257745,9.34046091584782,0,0,0,0,0,0.0722237003277199,0.9659657412397908,1961.6720856302677,0.4934731853738993,0.3008698361871195,-0.773665293,5,6,4,4,0,0,0,0,0,0,0,135
[N-]=[N+]=NC(=O)NNC(=O)N=[N+]=[N-],143.9296,2,10,0,0,0,0,0,2,2,10,0,0,0,2,0,0,0,0,0.3260220676089018,-0.265821686,-1.112046485,155.72000000000003,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.224092971,0,0,0,0,0,0,0,3.2887962962962964,0,0,0,5.0754166666666665,0,0,0,0,0,0,20.541459750566894,0,0,0,0,0,0,0.1267164423820284,0.9102319083808011,1446.2513332841054,0.3101819749004715,0.6584671824659596,-0.282200221,2,2,2,8,0,0,0,0,0,0,0,154
[N-]=[N+]=NC(N)=O,334.3016,2,5,0,0,0,0,0,1,1,5,0,0,0,0,1,0,0,0,0.3050839005109068,-0.36410873,-1.002314815,91.85,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.002314815,0,0,0,0,4.343611111111111,0,0,0,0,0,0,2.4444444444444446,0,0,0,0,0,0,9.401111111111112,0,0,0,0,0,0,0.2015850807653617,0.798414919234888,258.6185881418578,1.1990031918413656e-06,0.6507541776094081,-0.37185953,1,2,1,4,0,0,0,0,0,0,0,133
