,can_smiles,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,RingCount,NumRotatableBonds,fr_aryl_methyl,fr_NH1,fr_NH2,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,MolWt,MaxPartialCharge,MinPartialCharge,MaxAbsEStateIndex,MinAbsEStateIndex,MinEStateIndex,TPSA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,NPR1,NPR2,PMI3,PBF,Nper,OB,C,H,O,N,N_NO2,O_NO2,c_3NO2,c_2NO2,c_NO2,NO2_content,benzene_ono2,benzene_1no2,benzene_2no2,benzene_3no2,benzene_4no2,six_N1_0no2,six_N1_1no2,six_N1_2no2,six_N1_3no2,six_N2_0no2,six_N2_1no2,six_N2_2no2,six_N2_3no2,six_N3_0no2,six_N3_1no2,six_N3_2no2,six_N3_3no2,six_N4_0no2,six_N4_1no2,five_N1_0no2,five_N1_1no2,five_N1_2no2,five_N1_3no2,five_N1_4no2,five_N2_0no2,five_N2_1no2,five_N2_2no2,five_N2_3no2,five_N2_4no2,five_N3_0no2,five_N3_1no2,five_N3_2no2,five_N3_3no2,five_N3_4no2,five_N4_0no2,five_N4_1no2,five_N4_2no2,five_N4_3no2,five_N4_4no2,ring_content,con_rings,axis_symmetry,count_3n,T,bde_gnn
0,Nc1nc(N)[n+]([O-])nc1[N+](=O)[O-],4,9,0,0,0,0,1,1,7,2,9,1,1,0,0,2,0,1,0,0,172.10399999999998,0.4633844487113424,-0.703347923,10.554537037037038,0.1721296296296297,-0.920462963,147.9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.817685185,0,0,0,10.007643613000756,0,0,0,0,0,0,0,6.1175,0,-0.920462963,-0.17212963,0,0,10.115298563869992,0,0,0,0,0,0,0.2949235652596188,0.729305893261215,993.6921234207474,0.1265442285913378,0.4880769767117555,-0.464835216,3,4,3,6,0,0,0,0,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,190,262.5071
1,O=[N+]([O-])c1cn(-c2cc([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c2)nc1[N+](=O)[O-],0,17,0,0,0,1,1,2,12,0,17,2,6,0,0,0,0,5,3,0,369.1620000000001,0.4676584566799795,-0.357561897,11.005556185437138,0.4027702191987907,-1.416754115,233.52,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1.4483342781557067,0,0,0,0,-6.900522592,0,0,0,0,0,0,0,0,0,0,0,3.2374886621315198,0,-6.255307382,0.4027702191987907,0,0,54.53361840723944,0,0,0,0,0,0,0.2287103971861912,0.8017675252722066,6144.38918113635,0.3456048520236281,0.2654661097296037,-0.411743354,9,3,10,7,0,0,0,0,5,0.6896551724137931,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,227.58456
2,Nc1nn2nnnc2c(N)c1[N+](=O)[O-],4,10,0,0,0,0,2,2,9,2,10,2,1,0,0,2,0,1,0,0,196.13,0.3391517762718634,-0.389811461,10.535857898715042,0.005462962962963,-0.729814815,151.15,0,0,0,0,0,0,0,0,0,0,3,1,0,0,2,0,0,0,0,0,0,0,4,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.007314815,0.005462962962963,0,0,10.738611111111112,0,0,0,0,0,0,0,13.6597656840514,0,-0.729814815,0.9282407407407404,0,0,10.535857898715042,0,0,0,0,0,0,0.3045336976740924,0.7432881669928251,1212.5757970886527,0.1366444445051313,0.5710498138989445,-0.652628359,4,4,2,8,0,0,0,0,1,0.2222222222222222,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.2777777777777778,2,0,0,287,294.49026
3,Cn1nc([N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-],0,11,0,0,0,0,1,1,8,0,11,1,3,1,0,0,0,3,0,0,217.097,0.4981141036393152,-0.357621399,10.408148148148149,0.4824074074074074,-1.215277778,147.24,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,3,0,0,0,0,0,0,1.012037037037037,0,0,0,0,0,0,0,0,0,-3.381111111,0,0,0,0,0,0,0,0,0,0,0,3.086851851851852,0,-3.451851852,0.4824074074074074,0,0,31.125833333333333,0,0,0,0,0,0,0.3882029216545614,0.6516563894280316,1444.719766391029,0.2770668767791496,0.3224365145534024,-0.257949212,4,3,6,5,0,0,0,0,3,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,285,233.92838
4,Nc1c([N+](=O)[O-])c(Cl)nc2c([N+](=O)[O-])cnn12,2,10,0,0,0,0,2,2,8,1,11,2,2,0,0,1,0,2,0,0,258.581,0.3476941622600923,-0.377750808,10.65308342781557,0.247129629629629,-0.835694444,142.48999999999998,0,0,0,0,0,1,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,2,0,2,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0.887646762408667,0,0,0,0,-2.020960569,-0.24712963,0,0,5.445976946334088,0,0,0,0,0,0,0,7.089475308641975,0,-1.574845679,0.7937962962962961,0,0,21.26495559334845,0,0,0,5.5405738221214405,0,0,0.2843214817379904,0.7372126060019971,2318.768747725135,0.1197223575864615,0.3248498536242029,-0.587823545,6,3,4,6,0,0,0,0,2,0.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,284,285.05136
5,O=[N+]([O-])c1cnn(-c2cc([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c2)c1,0,14,0,0,0,1,1,2,10,0,14,2,5,0,0,0,0,4,3,0,324.165,0.4219592685197335,-0.258210482,10.938619457042076,0.3036111111111108,-1.28666126,190.38,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3.0113249559082886,0,0,0,0,-4.309378832,0,0,0,0,0,0,0,0,0,0,0,3.5430442176870747,0,-4.358737402,0.7657331821617537,0,0,43.340673605862094,0,0,0,0,0,0,0.2198821482890307,0.8080107207740604,4798.387235979264,0.2875317766169193,0.2591272962842996,-0.592290963,9,4,8,6,0,0,0,0,4,0.5925925925925926,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,235.76462
6,Nc1nc(-c2n[nH]cc2[N+](=O)[O-])n[nH]1,4,9,0,0,0,0,2,2,6,3,9,2,2,0,2,1,0,1,0,0,195.142,0.3175501220086546,-0.368155896,10.511536753590324,0.0582870370370374,-0.577992252,139.41000000000005,0,0,0,0,0,1,0,0,0,0,4,0,0,0,1,0,0,0,2,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.1546466364323509,0,0,0,0,0.0413869992441433,0,0,0,5.273865268329554,0,0,0,4.724279100529101,0,0,0,11.02740740740741,0,-0.577992252,0,0,0,10.511536753590324,0,0,0,0,0,0,0.2742973850283061,0.7461574510487161,1396.6633654382108,0.1758984928034498,0.5021983991144908,-0.860911541,5,5,2,7,0,0,0,0,1,0.2105263157894736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.2631578947368421,0,0,0,281,311.02057
7,NC1=NC(c2n[nH]cc2[N+](=O)[O-])N(N)N1,6,10,0,1,1,0,1,1,8,4,10,2,2,0,2,2,0,1,0,0,212.173,0.3132075515961808,-0.368788105,10.613872354497357,0.0831462585034019,-0.794768519,151.49,0,0,0,0,0,1,1,0,0,1,2,0,0,0,2,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.1599244142101286,-0.794768519,0,0,0.0831462585034019,-0.077638889,0,0,0,10.83799036281179,0,0,2.4835950491307632,2.3802210884353743,0,0,3.852314814814815,3.713333333333333,1.040185185185185,-0.572714475,0,0,0,10.613872354497357,0,0,0,0,0,0,0.3205184529865411,0.7825216864214087,1477.5941022665977,0.6658363710627797,0.5278711240355746,-0.904921927,5,8,2,8,0,0,0,0,1,0.1739130434782608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.217391304347826,0,0,0,281,365.5221
8,O=[N+]([O-])c1nn2c(c1[N+](=O)[O-])-c1c([N+](=O)[O-])c([N+](=O)[O-])nn1CCC2,0,16,0,1,1,0,2,2,12,0,16,3,4,2,0,0,0,4,0,0,354.19500000000016,0.4680051778731914,-0.35756177,11.317539210128498,0.0155503590325019,-1.104999055,208.2,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,4,2,0,0,4,0,0,0,0,0,0,0,0,0.16927343159486,0,0,0,0,0,0,0,-5.473798186,0,0,0,0,0,0,0,0,0,0,0,7.054563492063492,0,-4.397064752,1.7371145124716556,0,0,44.70495575081885,0,0,0,0,0,0,0.3466482414257077,0.7502517196881042,3762.9346951787975,0.605024090993342,0.3162099973178616,-0.587247138,9,6,8,8,0,0,0,0,4,0.5161290322580645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,280,232.57727
9,N#Cc1nnc2c([N+](=O)[O-])c([N+](=O)[O-])nn2c1N,2,12,0,0,0,0,2,2,10,1,12,2,2,0,0,1,1,2,0,0,250.134,0.4703834764715776,-0.379483759,10.74124472474175,0.338151927437641,-1.04335223,179.17000000000002,0,0,0,0,0,0,0,0,1,0,4,1,0,0,1,0,0,0,0,1,0,0,3,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.575408163265306,0,-2.645115268,-0.497037037,0,0,5.442277966742252,0,0,0,0,8.631006550768456,0,0,9.994466175359031,0,-2.056611867,0.6406944444444442,0,0,21.374122102544725,0,0,0,0,0,0,0.2485869841269882,0.7638256636174618,2360.945516081961,0.1066897862713515,0.4477600006396571,-0.575691429,6,2,4,8,0,0,0,0,2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.3,2,0,0,280,271.2947
