can_smiles,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,RingCount,NumRotatableBonds,fr_aryl_methyl,fr_NH1,fr_NH2,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,MolWt,MaxPartialCharge,MinPartialCharge,MaxAbsEStateIndex,MinAbsEStateIndex,MinEStateIndex,TPSA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,benzene,six_N1,six_N2,six_N3,six_N4,five_N1,five_N2,five_N3,five_N4,five_N1O1,five_N2O1,five_N3O1,NPR1,NPR2,PMI3,PBF,Nper,OB,C,H,O,N,N_NO2,O_NO2,c_3NO2,c_2NO2,c_NO2,NO2_content,Num_benzene,Num_six_N1,Num_six_N2,Num_six_N3,Num_six_N4,Num_five_N1,Num_five_N2,Num_five_N3,Num_five_N4,ring_content,con_rings,axis_symmetry,count_3n,T,bde_gnn
[H]N(C1=NON=C1C2=NN=C(N=N2)C3=NON=C3N([N+]([O-])=O)[H])[N+]([O-])=O,2,18,0,0,0,0,3,3,14,2,18,3,6,0,2,0,0,2,0,0,338.16000000000014,0.26451697504051785,-0.241406199,10.410644527378905,0.22206685143193017,-0.893976271,239.73999999999998,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,8,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.694597467,0,0,0,0,0,0,3.44340203944551,0,0,0,0,27.713615778828625,0,-1.787952543,0,0,0,20.821289054757806,0,8.682954081719414,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0.1880899691019006,0.846056863078519,5498.56515840867,0.36750363916599055,0.4968062455642298,-0.331204164,6,2,6,12,2,0,0,0,0,0.3076923076923077,0,0,0,0,1,0,2,0,0,0.6153846153846154,0,0,0,113,126.2436
[N-]=[N+]=NC(N=C12)=NN1N=NN3C2=NC([N+]([O-])=O)=N3,0,14,0,0,0,0,3,3,11,0,14,3,2,0,0,0,0,1,0,0,248.126,0.4931613074528512,-0.389690454,10.523971819826798,0.0244538926681781,-0.781853899,178.06,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,6,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.850659696,0.01073129251700733,0,0,0,0,0,0,0,0,0,3.1710148966994205,21.55816232048375,0,-0.781853899,1.7636583522297806,0,0,10.523971819826798,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0.21212648088754438,0.7878735191370824,2712.6042442362423,8.751624413143622e-06,0.677075356875136,-0.386900204,4,0,2,12,0,0,0,0,1,0.2222222222222222,0,0,0,0,1,0,0,2,0,0.8888888888888888,3,0,1,195.5,253.378
[NH2+]=C1N(C2=NN=N[N-]2)N=C3NC([N+]([O-])=O)=NN13,3,13,0,0,0,0,3,3,9,2,13,3,2,0,1,1,0,1,0,0,237.14300000000003,0.47040610694326035,-0.389745424,10.471799256739732,0.014675925925925704,-0.693860859,172.41,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,6,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.42122449,0.0824074074074077,0,0,0,0,0,0,2.3626473922902496,0,0,0,21.09148116654069,0,-0.693860859,2.149853552532124,0,0,10.471799256739732,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0.12557316497280552,0.9100904362028504,2417.053864114773,0.3328807098287021,0.6493971991583136,-0.506023792,4,3,2,11,0,0,0,0,1,0.2,0,0,0,0,0,0,0,2,1,0.75,2,0,0,253,263.48993
[O-][N+](C([N+]([O-])=O)([N+]([O-])=O)N1N=C(C([N+]([O-])=O)=N1)C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=O,0,24,0,0,0,0,1,1,17,0,24,1,9,0,0,0,0,7,0,0,412.1000000000002,0.8532918039880203,-0.357682876,10.961166383219954,1.299884259259259,-4.920447373,332.68999999999994,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,7,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.784768519,0,-9.810779006,0,0,0,0,0,0,0,0,0,4.64511574074074,0,-15.85891109,-1.299884259,0,0,76.47128023431594,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.3584310812281615,0.8874639836386423,4371.1574892843355,0.8412613654016056,0.33972336811453513,0.2329531667071098,4,0,14,10,0,0,2,0,1,0.8571428571428571,0,0,0,0,0,0,0,1,0,0.17857142857142858,1,0,0,132,106.19841
[O-][N+](C([N+]([O-])=O)(C1=NN(C(C2=NC(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=NN2C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=N1)C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O)=O,0,42,0,0,0,0,2,2,30,0,42,2,17,0,0,0,0,12,0,0,732.1900000000002,0.8223111546300734,-0.252189164,11.784374960632402,1.7969902683295533,-5.708362269,579.0999999999999,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,12,2,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11.78857395,0,-22.30187642,0,0,0,0,0,0,0,0,0,9.363308767951626,0,-32.30227876,-3.593980537,0,0,140.1450337800027,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.4512494139472968,0.7643750443283213,12076.494170754897,1.0354686633228058,0.3441729605703437,0.1748180117182698,8,0,24,18,0,0,4,0,0,0.8,0,0,0,0,0,0,0,2,0,0.2,0,0,0,164,115.79767
[O-][N+](C([N+]([O-])=O)(C1=NN(C2=N1)N=NN3C2=NC(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=N3)[N+]([O-])=O)=O,0,26,0,0,0,0,3,3,20,0,26,3,8,0,0,0,0,6,0,0,460.1520000000002,0.7645966242587918,-0.252189157,11.14455372933277,0.1116435185185185,-4.333523243,344.99999999999994,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,6,0,6,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.373070358,-1.930335412,-8.667046485,0,0,0,0,0,0,0,0,0,18.85252173091459,0,-11.6733346,0.22328703703703723,0,0,66.86732237599662,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0.1940394403804562,0.945577069019919,8113.008282301531,0.7078714739781399,0.425946209078739,0,6,0,12,14,0,0,2,0,0,0.625,0,0,0,0,1,0,0,2,0,0.5,3,1,0,128,99.578
[O-][N+](C1=NN(C(N=[N+]=[N-])=N1)CN2N=C(N=C2N=[N+]=[N-])[N+]([O-])=O)=O,0,18,0,0,0,0,2,2,12,0,18,2,6,0,0,0,0,2,0,0,322.1650000000001,0.49100524677165114,-0.389691349,10.627820133843763,0.4960737906273611,-0.939458774,245.22,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,4,0,2,2,0,0,2,0,0,0,0,0,0,0,0,-0.537314815,0,0,0,0,0,0,0,-2.728537415,0,0,0,0,0,0,0,0,0,0,6.180085348954396,13.548077601410935,0,-1.878917549,1.4576455026455024,0,0,21.255640267687525,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.4132578697977841,0.7012004639325098,3869.9910938486028,0.8321421178379643,0.6083839026585756,-0.347647944,5,2,4,14,0,0,0,0,2,0.32,0,0,0,0,0,0,0,2,0,0.4,0,0,2,153,249.85974
[O-][N+](C1=NN(CCN2N=C(N=C2N=[N+]=[N-])[N+]([O-])=O)C(N=[N+]=[N-])=N1)=O,0,18,0,0,0,0,2,2,12,0,18,2,7,2,0,0,0,2,0,0,336.19200000000006,0.4909384098056298,-0.389691355,10.637326646350818,0.1769283824640966,-0.890272375,245.22000000000003,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,4,0,2,2,0,0,2,0,0,0,0,0,0,0,0,-0.353856765,0,0,0,0,0,0,0,-2.35853794,0,0,0,0,0,0,0,0,0,0,6.288279793398841,13.809105883093979,0,-1.78054475,1.788165154950869,0,0,21.274653292701636,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.23037125772537909,0.7822002315289892,5559.5397804557715,0.3776229081057349,0.5830001903674091,-0.475918523,6,4,4,14,0,0,0,0,2,0.2857142857142857,0,0,0,0,0,0,0,2,0,0.35714285714285715,0,0,2,166,366.3432
[O-][N+](ON=C1C2=NN(C)C([N+]([O-])=O)=N2)=C1C3=NN(C)C([N+]([O-])=O)=N3,0,16,0,0,0,0,3,3,13,0,16,3,4,2,0,0,0,2,0,0,338.2000000000001,0.45561911454673854,-0.389773231,11.7619567271353,0.10060941043083904,-0.802889757,200.67000000000002,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,0,2,3,0,0,2,0,1,0,0,0,0,2.5181740951915916,0,0,0,0,0,0,0,0,0,-2.61103857,0,0,0,0,0,0,0,0,0,0,0,18.13074326026707,0,-1.589233312,1.5915041572184427,0,0,21.640662146095046,0,4.416569349962208,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0.259771578635132,0.755971968336145,4910.880951605347,0.3783429871213432,0.4139562389118865,-0.615020698,8,6,6,10,0,0,0,0,2,0.26666666666666666,0,0,0,0,0,0,1,2,0,0.5,0,0,0,138,266.7996
[O-][N+](ON=C1C2=NN(C)C(N[N+]([O-])=O)=N2)=C1C3=NN(C)C(N[N+]([O-])=O)=N3,2,18,0,0,0,0,3,3,13,2,18,3,6,2,2,0,0,2,0,0,368.2300000000001,0.2983145384275081,-0.358899563,11.883793540564374,0.04407753842277673,-0.85770867,224.73000000000002,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,5,0,2,3,0,0,2,0,1,0,0,0,0,2.7165189069454945,0,0,0,0,0,0,0,0,0,-1.509997546,0,0,0,0,0,0,3.609780614023489,0,0,0,0,18.887322215923408,0,-1.703803898,2.0092899829047015,0,0,21.059074751604655,0,4.488946680524061,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0.35746485879837847,0.677117146180136,5217.529369098491,0.4528063887764826,0.4562365912608968,-0.608315455,8,8,6,12,2,0,0,0,0,0.23529411764705882,0,0,0,0,0,0,1,2,0,0.4411764705882353,0,0,0,144,151.46489
